,BB,BGI,Bridgetown,Bridgetown,,AI,1--45---,9601,,,
,BB,G5B,Brighton,Brighton,10,RL,--3-----,1607,,1307N 05931W,
,BB,CCH,Christ Church,Christ Church,01,RL,--3-----,1301,,1305N 05932W,
,BB,H9G,Edge Hill,Edge Hill,08,RL,--3-----,1701,,1309N 05936W,
,BB,HLT,Holetown,Holetown,04,RL,--3-----,1601,,1311N 05938W,
,BB,JCK,Jackson,Jackson,08,RL,-----6--,1801,,1309N 05936W,
,BB,NES,Nesfield,Nesfield,07,RL,--3-----,1501,,1317N 05937W,
,BB,OST,Oistins,Oistins,,RL,--3-----,1101,,1304N 05932W,
,BB,STM,Saint Michael,Saint Michael,08,RL,1----6--,1101,,1307N 05936W,
,BB,SPR,Saint Peter,Saint Peter,09,RL,-23-----,1307,,1315N 05937W,
,BB,SAP,Saint Philip,Saint Philip,10,RL,-----6--,1107,,,
,BB,SLC,Sam Lords Castle,Sam Lords Castle,,RL,--3-----,0901,,1307N 05926W,
,BB,SPT,Speightstown,Speightstown,,RQ,--3-----,0907,,1315N 05939W,
