,EG,TRC,10th of Ramadan City,10th of Ramadan City,,RL,--3--6--,0401,,3018N 03145E,
,EG,SOC,6th October,6th October,GZ,RL,--3--6--,0401,,2949N 03103E,
,EG,AGN,Abu Ghosoun,Abu Ghosoun,,RL,--3-----,9811,,,
,EG,AKI,Abu Kir,Abu Kir,,RQ,1-------,9506,,,
,EG,AUE,Abu Rudeis,Abu Rudeis,,AI,1--4----,9506,,,
,EG,ABS,Abu Simbel,Abu Simbel,,AI,---4----,9601,,,
,EG,AZA,Abu Zenimah,Abu Zenimah,JS,RL,1-------,0212,,2903N 03306E,
,EG,AIS,Ain Sukhna,Ain Sukhna,,RQ,1-------,9506,,,
,EG,ADA,Al Adabiyah,Al Adabiyah,,RL,123-----,0701,,2952N 03228E,
,EG,DBB,Al Alamein International Apt/Daaba City,Al Alamein International Apt/Daaba City,MT,RL,---4----,0907,,3055N 02827E,
,EG,ABE,Al Bahr El Ahmer,Al Bahr El Ahmer,,RQ,-----6--,1007,,,
,EG,YYU,Al Fayyum,Al Fayyum,,RQ,--3-----,1001,,2918N 03050E,
,EG,AHM,Al Haram,Al Haram,GZ,RL,-----6--,1107,,2927N 03110E,
,EG,AGZ,Al Jizah (Giza),Al Jizah (Giza),GZ,RL,1-3-----,0907,,3000N 03113E,
,EG,ALM,Al Mansurah,Al Mansurah,DK,RL,-23-----,0207,,3102N 03122E,
,EG,QEM,Al Manzilah,Al Manzilah,DK,RL,--3-----,0907,,3109N 03156E,
,EG,MIN,Al Minya,Al Minya,GZ,RQ,1----6--,1007,,2944N 03117E,
,EG,AMA,Al Monofiya,Al Monofiya,,RQ,-----6--,1007,,,
,EG,ELK,Al Qantarah El Sharqiyya,Al Qantarah El Sharqiyya,SIN,RL,--3-----,1601,,3051N 03218E,
,EG,AQU,Al Qusayr,Al Qusayr,BA,RL,1-3-----,0401,,2606N 03417E,a.k.a El Kosseir
,EG,AWE,Al Wadi El Gedeed,Al Wadi El Gedeed,,RQ,-----6--,1007,,,
,EG,ALA,Almazah,Almazah,C,RL,--3-----,1307,,3005N 03121E,
,EG,6HB,An Nubariyah,An Nubariyah,BH,RL,--3-----,1607,,3039N 03004E,
,EG,EEG,An Nukhaylah,An Nukhaylah,AST,RQ,1-------,1007,,2701N 03121E,
,EG,SUZ,As Suways (Suez),As Suways (Suez),SUZ,RL,1-3-----,1101,,2958N 03231E,
,EG,ATZ,Assiut,Assiut,,RQ,---4----,0901,,2711N 03111E,
,EG,ASW,Aswan,Aswan,,AI,1--4----,9601,,,
,EG,AST,Asyut,Asyut,AST,RL,123-----,0701,,2711N 03111E,
,EG,BGB,Atakka Dry Port,Atakka Dry Port,SUZ,RL,1-------,1501,,3206N 03300E,
,EG,QZZ,Az Zaqaziq,Az Zaqaziq,SHR,RL,--3-----,0907,,3035N 03130E,
,EG,BDR,Badr,Badr,C,RQ,-----6--,1001,,3008N 03143E,
,EG,BAH,Bahtim,Bahtim,,RL,-----6--,1107,,3008N 03116E,
,EG,BEN,Beni Suef,Beni Suef,,RQ,1----6--,1007,,2904N 03105E,
,EG,BBS,Bilbays,Bilbays,SHR,RL,--3-----,1101,,3025N 03134E,
,EG,HBE,Burj al Arab,Burj al Arab,,RL,--34-6--,0401,,3054N 02933E,
,EG,DAK,Dakhla,Dakhla,,RL,---4----,0907,,2524N 02900E,
,EG,DMN,Damanhour,Damanhour,,RQ,---4----,9506,,,
,EG,DAM,Dumyat (Damietta),Dumyat (Damietta),,RL,1234----,1401,QDX,3125N 03149E,
,EG,BEH,El Beheirah,El Beheirah,,RQ,1----6--,1007,,3065N 03028E,
,EG,EDK,El Dekheila,El Dekheila,,RQ,1-------,9506,,,
,EG,EDA,El Dekhela,El Dekhela,,RQ,-----6--,1007,,,
,EG,ALY,El Iskandariya (Alexandria),El Iskandariya (Alexandria),ALX,AI,1--45---,1601,,3111N 02955E,
,EG,QEK,El Mahalla El Kobra,El Mahalla El Kobra,GH,RL,--3-----,0907,,3059N 03110E,
,EG,MSR,El Mansoura,El Mansoura,DK,RL,--3-----,1307,,3103N 03123E,
,EG,EOB,El Obour,El Obour,DK,RQ,1-------,0901,,,
,EG,CAI,El Qahira (Cairo),El Qahira (Cairo),C,AI,1--45---,1601,,3003N 03115E,
,EG,TOR,El Tor,El Tor,SIN,RL,1-------,1607,,2814N 03337E,
,EG,AAC,El'Arish,El'Arish,,RL,--34----,9805,,,
,EG,GUA,El-Guna (El Gouna),El-Guna (El Gouna),BA,RL,1-3-----,1401,,2723N 03340E,
,EG,BHE,Ezbet Osman Murtada,Ezbet Osman Murtada,BH,RQ,-----6--,1007,,,
,EG,FAD,Fa'id,Fa'id,,RL,1-------,0212,,3019N 03219E,
,EG,IYM,Faiyum,Faiyum,FYM,RL,--3-----,1307,,2918N 03050E,
,EG,FAN,Fanara,Fanara,,RQ,1-------,9506,,,
,EG,GEI,Geisum Terminal,Geisum Terminal,,RQ,1-------,9506,,,
,EG,QGX,Gerga,Gerga,,RL,--3-----,0907,,2633N 03188E,
,EG,HAL,Halaib,Halaib,,QQ,1-------,8103,,,
,EG,HAM,Hamrawein,Hamrawein,,RQ,1-------,9506,,,
,EG,HEL,Heliopolis,Heliopolis,C,RQ,1-------,0901,,,
,EG,QHW,Helwan,Helwan,,RQ,--3-----,1001,,2951N 03120E,
,EG,HRG,Hurghada,Hurghada,,AI,1-------,9601,,,
,EG,IKU,Idku,Idku,,RL,-23-----,0607,,3118N 03018E,
,EG,ISM,Ismailia,Ismailia,,QQ,1-------,8103,,,
,EG,IYB,Itay Al Barud,Itay Al Barud,BH,RL,--3-----,1307,,3053N 03039E,
,EG,ISA,Izbat Sidi Ali Murghib,Izbat Sidi Ali Murghib,ALX,RL,--3-----,1307,,3105N 02952E,
,EG,KEZ,Kafr az Zayyat,Kafr az Zayyat,GH,RL,--3-----,1307,,3049N 03048E,
,EG,KEH,Kafr El Sheikh,Kafr El Sheikh,DK,RQ,1-------,0901,,,
,EG,KEN,Kenna,Kenna,,RQ,1----6--,1007,,2669N 03024E,
,EG,LXR,Luxor,Luxor,,AI,---4----,9601,,,
,EG,MAL,Mallawi,Mallawi,MN,RL,--3-----,1401,,2743N 03050E,
,EG,RMF,Marsa Alam,Marsa Alam,BA,RL,---4----,0907,,2533N 03434E,
,EG,MUH,Matruh,Matruh,,RL,1--4----,0901,,3122N 02714E,
,EG,QFM,Meet Ghamr,Meet Ghamr,DK,RL,--3-----,0907,,3043N 03115E,
,EG,MAH,Mersa El Hamra,Mersa El Hamra,,QQ,1-------,9506,,,
,EG,MMU,Mersa Matru,Mersa Matru,,RQ,-----6--,1007,,,
,EG,EMY,Minyat Al Hayt,Minyat Al Hayt,FYM,RL,---4----,0907,,2913N 03044E,
,EG,QAH,Nasr City,Nasr City,C,RL,1-3-----,1401,,3003N 03122E,
,EG,CA7,New Cairo,New Cairo,C,RL,1-------,1401,,3002N 03126E,
,EG,UVL,New Valley,New Valley,,AI,---4----,9601,,,
,EG,NUB,Nubaria,Nubaria,,RQ,--3-----,1001,,3039N 03002E,
,EG,NUW,Nuwaiba,Nuwaiba,JS,AI,1-------,0212,,2858N 03439E,a.k.a Nuweiba
,EG,BRO,Obour,Obour,KB,RL,--3-----,1801,,3012N 03127E,
,EG,PIB,Port Ibrahim,Port Ibrahim,,QQ,1-------,8103,,,
,EG,PSD,Port Said,Port Said,,AI,1--4----,9601,,,
,EG,PSE,Port Said East,Port Said East,SUZ,AA,123--6--,1307,,3113N 03221E,
,EG,PSW,Port Said West,Port Said West,SUZ,RL,--3-----,1401,,3115N 03217E,
,EG,PTK,Port Tewfik,Port Tewfik,,QQ,1-------,8103,,,
,EG,QUB,Qalyub,Qalyub,KB,RL,1----6--,1201,,3010N 03112E,
,EG,QSN,Quesna,Quesna,MNF,RL,-2------,1101,,3033N 03107E,
