,ET,ADD,Addis Ababa,Addis Ababa,,AI,---45---,,,,
,ET,AMH,Arba Mintch,Arba Mintch,,AI,---4----,9601,,,
,ET,ASO,Asosa,Asosa,,AI,---4----,9601,,,
,ET,ALK,Assella,Assella,OR,RL,--3-----,1807,,0757N 03908E,
,ET,AWA,Awassa,Awassa,,AI,---4----,9601,,,
,ET,AXU,Axum,Axum,,AI,---4----,9601,,,
,ET,BJR,Bahar Dar,Bahar Dar,,AI,---4----,9601,,,
,ET,BED,Bedele,Bedele,OR,RL,--3-----,1601,,0827N 03621E,
,ET,BEI,Beica,Beica,,RQ,---4----,0901,,0923N 03432E,
,ET,BCY,Bulchi,Bulchi,,AI,---4----,9601,,,
,ET,DBM,Debra Marcos,Debra Marcos,,AI,---4----,9601,,,
,ET,DBT,Debra Tabor,Debra Tabor,,RQ,---4----,0901,,1151N 03800E,
,ET,DEM,Dembidollo,Dembidollo,,AI,---4----,9601,,,
,ET,DSE,Dessie,Dessie,,AI,---4----,9601,,,
,ET,DIR,Dire Dawa,Dire Dawa,,AI,---45---,,,,
,ET,DAD,Dolo Odo,Dolo Odo,SO,RL,--3-----,1201,,0411N 04204E,
,ET,SEM,Dubti,Dubti,AF,RL,-----6--,1201,,1144N 04105E,
,ET,DKM,Dukem,Dukem,OR,RL,--3-----,1501,,0848N 03854E,
,ET,GMB,Gambela,Gambela,,AI,---4----,9601,,,
,ET,ETE,Genda Wuha,Genda Wuha,,RQ,---4----,0901,,,
,ET,GNN,Ghinnir,Ghinnir,,RQ,---4----,0901,,0715N 04043E,
,ET,GIB,Gibe,Gibe,OR,RL,--3-----,1601,,0745N 03711E,
,ET,GZA,Giza,Giza,TI,RL,--3-----,1207,,1341N 03930E,
,ET,GOB,Goba,Goba,,AI,---4----,9601,,,
,ET,GDE,Gode,Gode,,RQ,---4----,0901,,0554N 04337E,
,ET,GDQ,Gondar,Gondar,,AI,---4----,9601,,,
,ET,GOR,Gore,Gore,,AI,---4----,9601,,,
,ET,HAR,Harar,Harar,HA,RL,--3-----,1601,,0918N 04207E,
,ET,HOG,Holeta Genet,Holeta Genet,OR,RL,--3-----,1701,,0903N 03830E,
,ET,HUE,Humera,Humera,,AI,---4----,9601,,,
,ET,JIJ,Jijiga,Jijiga,,RQ,--3-----,0907,,0921N 04248E,
,ET,JIM,Jimma,Jimma,,AI,---4----,9601,,,
,ET,BCO,Jinka,Jinka,,RQ,---4----,0901,,,
,ET,LFO,K'elafo,K'elafo,,AI,---4----,0212,,0537N 04408E,
,ET,ABK,Kabri Dar,Kabri Dar,,RQ,---4----,0901,,0644N 04415E,
,ET,OKA,Kembolcha,Kembolcha,OR,RL,-----6--,0901,,0730N 04111E,
,ET,KOA,Kombolcha,Kombolcha,AM,RL,--3-----,1801,,1105N 03944E,
,ET,LLI,Lalibela,Lalibela,,RQ,---4----,0901,,1202N 03902E,
,ET,MQX,Makale,Makale,,AI,---4----,9601,,,
,ET,MKS,Mekane Selam,Mekane Selam,,AI,---4----,9601,,,
,ET,MEK,Mekele,Mekele,TI,RL,--3-----,1207,,1329N 03928E,
,ET,MZX,Mena,Mena,,AI,---4----,,,,
,ET,MTF,Mizan Teferi,Mizan Teferi,,AI,---4----,9601,,,
,ET,MOJ,Mojo,Mojo,OR,RL,-----6--,1201,,0836N 03907E,
,ET,MDP,Mojo Dry Port,Mojo Dry Port,OR,RL,-----6--,1601,,0834N 03908E,
,ET,OTA,Mot'a,Mot'a,,AI,---4----,0212,,1105N 03752E,
,ET,MYS,Moyale,Moyale,,RQ,---4----,0901,,0328N 03905E,
,ET,MUJ,Mui,Mui,,AI,---4----,9601,,,
,ET,NZR,Nazret,Nazret,,RL,--3-----,0307,,0833N 03916E,
,ET,W8N,Nefas Mewch'a,Nefas Mewch'a,AM,RL,--3-----,1607,,1144N 03828E,
,ET,EGL,Neghelli,Neghelli,,RQ,---4----,0901,,0516N 03943E,
,ET,SEB,Sebeta,Sebeta,OR,RL,--3-----,1307,,0855N 03837E,
,ET,S3M,Semera,Semera,AF,RL,--3-----,1801,,1147N 04100E,
,ET,S7O,Shashemene,Shashemene,OR,RL,--3-----,1601,,0712N 03836E,
,ET,SRE,Shire,Shire,TI,RL,--3-----,1801,,1408N 03824E,
,ET,SXU,Soddu,Soddu,,AI,---4----,9601,,,
,ET,SOD,Sodo,Sodo,,RL,--3-----,0601,,0835N 03549E,
,ET,TIE,Tippi,Tippi,,AI,---4----,9601,,,
,ET,WAC,Waca,Waca,,AI,---4----,9601,,,
