,GB,ATO,"Acton, Sudbury","Acton, Sudbury",SFK,RL,--3-----,0501,,5204N 00045E,
,GB,GIG,"Ardminish, Gigha Island","Ardminish, Gigha Island",AGB,AA,1-3-----,0701,,5540N 00544W,
,GB,AMD,"Armadale, Isle of Skye","Armadale, Isle of Skye",HLD,AA,1-3-----,0701,,5703N 00554W,
,GB,BKC,"Backaland, Eday","Backaland, Eday",ORK,AA,1-3-----,0701,,5909N 00245W,
,GB,ION,"Baile Mor, Iona","Baile Mor, Iona",AGB,AA,1-3-----,0701,,5620N 00624W,
,GB,BMT,"Belmont, Unst","Belmont, Unst",ZET,AA,1-3-----,0701,,6041N 00058W,
,GB,BDF,"Broadford, Isle of Skye","Broadford, Isle of Skye",HLD,AA,1-3-----,0701,,5714N 00554W,
,GB,BDI,"Brodick, Isle of Arran","Brodick, Isle of Arran",NAY,AA,1-3-----,0701,,5535N 00510W,
,GB,BRU,"Bruray, Out Skerries","Bruray, Out Skerries",ZET,AA,1-3-----,0701,,6025N 00045W,
,GB,CNA,"Canna, Inner Hebrides","Canna, Inner Hebrides",HLD,AA,1-3-----,0701,,5703N 00630W,
,GB,CAG,"Ceann a Gharaidh, Eriskay","Ceann a Gharaidh, Eriskay",ELS,AA,1-3-----,0701,,5704N 00717W,
,GB,CUB,"Church Bay, Rathlin Island","Church Bay, Rathlin Island",MYL,AA,1-3-----,0701,,5517N 00611W,
,GB,RAS,"Clachan, Raasay","Clachan, Raasay",HLD,AA,1-3-----,0701,,5720N 00604W,
,GB,CGJ,"Craighouse, Isle of Jura","Craighouse, Isle of Jura",AGB,AA,1-3-----,0701,,5550N 00557W,
,GB,CUA,"Cuan Ferry, Seil","Cuan Ferry, Seil",AGB,AA,1-3-----,0701,,5616N 00538W,
,GB,CUV,"Cullivoe, Yell","Cullivoe, Yell",ZET,AA,1-3-----,0701,,6042N 00101W,
,GB,CMS,"Cumbrae Slip, Great Cumbrae","Cumbrae Slip, Great Cumbrae",NAY,AA,1-3-----,0701,,5547N 00454W,
,GB,EAA,"Easdale, Seil","Easdale, Seil",AGB,AA,1-3-----,0701,,5617N 00539W,
,GB,EGO,"Elgol, Isle of Skye","Elgol, Isle of Skye",HLD,AA,1-3-----,0701,,5709N 00606W,
,GB,ELB,"Ellenabeich, Seil","Ellenabeich, Seil",AGB,AA,1-3-----,0701,,5617N 00539W,
,GB,FIO,"Fionnphort, Isle of Mull","Fionnphort, Isle of Mull",AGB,AA,1-3-----,0701,,5619N 00622W,
