,IR,ABD,Abadan,Abadan,,AI,1--45---,9601,,,
,IR,JBD,Abadeh,Abadeh,14,RL,-----6--,1201,,3002N 05232E,
,IR,ABR,Abhar,Abhar,11,RL,-----6--,1201,,3608N 04913E,
,IR,AEU,Abu Musa,Abu Musa,23,RL,---4----,0907,,2554N 05459E,
,IR,AKW,Aghajari,Aghajari,,RL,---4----,0907,,3730N 04558E,
,IR,AHR,Ahar,Ahar,01,RL,--3-----,1101,,3828N 04703E,
,IR,AWZ,Ahwaz,Ahwaz,,AI,---4----,9601,,,
,IR,UZA,Al Uzsayr,Al Uzsayr,,RQ,0-------,9012,,,
,IR,LEH,Ali Shah Avaz,Ali Shah Avaz,07,RL,-----6--,1701,,3539N 05103E,
,IR,AMR,Amara,Amara,,RQ,0-------,9012,,,
,IR,AMP,Amir Abad Pt,Amir Abad Pt,21,RL,1-------,0901,,3605N 05222E,
,IR,BAM,Amirabad,Amirabad,06,RQ,1-------,0901,,2651N 05422E,
,IR,ARA,Arak,Arak,22,RL,--3-----,0401,,3405N 04941E,
,IR,ADU,Ardabil,Ardabil,,AI,---4----,0001,,,
,IR,PGU,Asaloyeh,Asaloyeh,,RQ,---4----,0907,,2729N 05237E,
,IR,ASA,Asaluyeh,Asaluyeh,06,RL,1-3-----,0307,,2728N 05236E,
,IR,ASR,Astara,Astara,,RQ,0-------,9506,,,
,IR,BBL,Babolsar,Babolsar,,AI,---4----,0001,,,
,IR,IAQ,Bahregan,Bahregan,,AI,---4----,0001,,,
,IR,BAJ,Bajgiran,Bajgiran,,AI,----5---,9805,,,
,IR,BXR,Bam,Bam,,AI,---4----,0001,,,
,IR,BND,Bandar Abbas,Bandar Abbas,23,AI,1--4----,1101,,2711N 05616E,
,IR,AMD,Bandar Amirabad,Bandar Amirabad,21,RL,123-56--,0901,,3647N 05321E,
,IR,BAH,Bandar Assaluyeh,Bandar Assaluyeh,,RQ,1-------,0401,,,
,IR,BKM,Bandar Khomeini,Bandar Khomeini,10,RL,1-34----,0307,QBR,3026N 04906E,
,IR,BMR,Bandar Mashur,Bandar Mashur,10,RL,1-----7-,0307,,3033N 04911E,cf IR MRX
,IR,NEK,Bandar Neka,Bandar Neka,,RL,1-3-56--,0901,,3652N 05332E,
,IR,BSR,Bandar Shahid Rajaee,Bandar Shahid Rajaee,,RQ,1-------,0401,,,
,IR,BAZ,Bandar-e Anzali,Bandar-e Anzali,19,RL,1-------,0212,,3728N 04928E,
,IR,BKK,Bandar-e Emam Khomeyni,Bandar-e Emam Khomeyni,,RL,1----6--,1201,,3026N 04906E,
,IR,BRG,Bandar-e Gaz,Bandar-e Gaz,,RL,1-------,0212,,3647N 05357E,
,IR,BDH,Bandar-e Lengeh,Bandar-e Lengeh,23,AI,---4----,0212,,2633N 05453E,
,IR,MRX,Bandar-e Måh Shahr,Bandar-e Mah Shahr,10,RL,1234----,0507,,3032N 04910E,
,IR,BNH,Baneh,Baneh,22,RL,-----6--,1201,,3405N 04925E,
,IR,DGN,Basargan,Basargan,,RQ,0-------,9012,,,
,IR,XBJ,Birjand,Birjand,,AI,---4----,0001,,,
,IR,BSM,Bisheh Kola,Bisheh Kola,,RQ,---4----,0907,,3611N 05310E,
,IR,BJB,Bojnurd,Bojnurd,,AI,---4----,0212,,3729N 05719E,
,IR,BOR,Borazjan,Borazjan,,RL,-----6--,1201,,2915N 05112E,
,IR,BRJ,Borujerd,Borujerd,20,RL,--3-----,1601,,3352N 04850E,
,IR,BUZ,Bushehr,Bushehr,06,AI,1-34----,1101,,2858N 05050E,
,IR,CI3,Chabahar,Chabahar,13,RL,--3-----,1601,,2517N 06038E,
,IR,ZBR,Chah Bahar,Chah Bahar,,AI,1--4----,0212,,,
,IR,DAM,Damavand,Damavand,,RL,--3-----,0212,,3544N 05203E,
,IR,DAY,Dayyer,Dayyer,06,AA,1-------,1901,,2750N 05156E,
,IR,DEH,Dehbid,Dehbid,14,RL,-----6--,1201,,3037N 05312E,
