,LY,ABK,Abu Kammash,Abu Kammash,,RQ,1-------,9506,,,
,LY,ABS,Abu Salim,Abu Salim,TB,RL,--3-----,1101,,3251N 01310E,
,LY,QGG,Ajdabiya,Ajdabiya,WA,RL,--3-----,1307,,3045N 02013E,
,LY,ABA,Al Bayda,Al Bayda,,QQ,1-------,8103,,,
,LY,KHO,Al Khums,Al Khums,,RL,1-3-----,0507,QKO,3239N 01416E,
,LY,AKF,Al Kufrah,Al Kufrah,,AI,---4----,0212,,2410N 02315E,Kufra
,LY,QEC,Al Marj,Al Marj,MJ,RL,--3-----,0907,,3230N 02049E,
,LY,APO,Apollonia,Apollonia,,QQ,1-------,8103,,,
,LY,ESI,As Sidr,As Sidr,,RL,1-------,0212,,3038N 01822E,
,LY,QZT,Awbari (Ubari),Awbari (Ubari),,RL,--3-----,0907,,2334N 01249E,
,LY,ZAW,Az Zawiyah,Az Zawiyah,,RL,1-------,0212,,3245N 01243E,
,LY,AZT,Az Zintan,Az Zintan,JG,RL,--3-----,1401,,3156N 01214E,
,LY,QBL,Bani Walid,Bani Walid,MI,RL,--3-----,1401,,3446N 01358E,
,LY,BAR,Bardiyah,Bardiyah,,RL,1-------,0212,,3146N 02506E,
,LY,LAQ,Beida,Beida,,AI,---4----,0001,,,
,LY,BEN,Bingazi (Benghazi),Bingazi (Benghazi),,AI,1--45---,9601,,,
,LY,BCQ,Birak,Birak,,AI,---4----,0212,,2732N 01417E,
,LY,BUA,Bu'ayrat al Hasun,Bu'ayrat al Hasun,,RL,1-------,0212,,3124N 01544E,
,LY,DRX,Darnah,Darnah,,QQ,1-------,0607,,3246N 02238E,
,LY,BOU,El Bouri,El Bouri,,RQ,1-------,9803,,,
,LY,ELK,El Choms,El Choms,,RL,1-3-----,0701,,3239N 01416E,
,LY,LTD,Ghadames,Ghadames,,AI,---4----,9601,,,
,LY,GHT,Ghat,Ghat,,AI,---4----,9601,,,
,LY,HUQ,Houn,Houn,,RQ,--34----,0901,,2930N 01530E,
,LY,JAZ,Janzur,Janzur,ZA,RL,--3-----,1701,,3249N 01300E,
,LY,KHM,Khoms,Khoms,,RQ,-----6--,0907,,5220N 02514E,
,LY,MBK,Mabruk,Mabruk,SR,RQ,------7-,1101,,3000N 01715E,
,LY,LMQ,Marsa Brega,Marsa Brega,,AI,1--4----,9601,,,
,LY,MEH,Marsa El Hania,Marsa El Hania,,QQ,1-------,8103,,,
,LY,MHR,Marsa el Hariga,Marsa el Hariga,,RQ,1-------,9506,,,
,LY,MBR,Marsá Al Burayqah,Marsa Al Burayqah,,RL,--3-----,0207,,3023N 01936E,
,LY,MTH,Melittah,Melittah,TB,RL,1-----7-,0701,,,
,LY,MEL,Mellitah (Qasr Ahmed),Mellitah (Qasr Ahmed),MI,RQ,123-----,0901,,3236N 01521E,
,LY,MIS,Misratah,Misratah,MI,RL,--3-----,1307,,3222N 01505E,
,LY,MRA,Misurata,Misurata,,AI,1--4----,9601,,,
,LY,MJI,Mitiga,Mitiga,,AI,---4----,0001,,,
,LY,QMQ,Murzuq,Murzuq,MQ,RQ,---4----,0907,,2554N 01353E,
,LY,NFR,Nafoora,Nafoora,,AI,---4----,0001,,,
,LY,REH,Ras el Hilal,Ras el Hilal,,RQ,0-------,9506,,,
,LY,RLA,Ras Lanuf,Ras Lanuf,,QQ,1-------,8103,,,
,LY,SEB,Sebha,Sebha,,AI,--34----,0212,,2702N 01426E,
,LY,SRX,Sert,Sert,,AI,---4----,0001,,,
,LY,SRT,Sirte (Surt),Sirte (Surt),,QQ,1-------,8103,,,
,LY,SOU,Soussah,Soussah,,QQ,1-------,8103,,,
,LY,TAG,Tagiura,Tagiura,,QQ,1-------,8103,,,
,LY,TOB,Tobruk,Tobruk,,AI,1--4----,9601,,,
,LY,TOA,Toulmeitha,Toulmeitha,,QQ,1-------,8103,,,
,LY,TIP,Tripoli,Tripoli,,AI,1--4----,9601,,,
,LY,TUK,Tukrah,Tukrah,,QQ,1-------,8103,,,
,LY,ZLI,Zliten,Zliten,,QQ,1-------,8103,,,
,LY,ZUA,Zuara,Zuara,,QQ,1-------,8103,,,
,LY,ZUE,Zueitina,Zueitina,,RQ,0-------,9506,,,
,LY,WAX,Zwara,Zwara,,AI,---4----,0001,,,
