,MM,AKY,Akyab (Sittwe),Akyab (Sittwe),,AI,1--4----,9401,,,
,MM,BPE,Bagan,Bagan,,AI,---4----,0001,,,
,MM,BSX,Bassein,Bassein,,AI,1--4----,9601,,,
,MM,BMO,Bhamo,Bhamo,,AI,---4----,9601,,,
,MM,BIL,Bilin,Bilin,,QQ,1-------,8103,,,
,MM,BOG,Bogale,Bogale,,QQ,1-------,8103,,,
,MM,TVY,Dawe,Dawe,,AI,---4----,0001,,,
,MM,GAW,Gangaw,Gangaw,,AI,---4----,9601,,,
,MM,GWA,Gwa,Gwa,,AI,---4----,9601,,,
,MM,HEN,Heho,Heho,,QQ,---4----,8103,,,
,MM,HEB,Henzada,Henzada,,AI,1--4----,9601,,,
,MM,HOX,Homalin,Homalin,,AI,---4----,0001,,,
+,MM,HTL,Htan Tlang,Htan Tlang,14,RL,--3-----,1907,,2240N 09324E,
,MM,INS,Insein,Insein,,QQ,1-------,8103,,,
,MM,KMV,Kalemyo,Kalemyo,,AI,---4----,9601,,,
,MM,KKR,Kawkareik,Kawkareik,13,RL,--3-----,1501,,1633N 09814E,
,MM,KAW,Kawthaung,Kawthaung,,AI,---4----,0001,,,
,MM,KET,Keng Tung,Keng Tung,,AI,---4----,9601,,,
,MM,KHM,Khamti,Khamti,,AI,---4----,0001,,,
,MM,KYA,Kyaiklat,Kyaiklat,07,RL,1-3-----,0401,,1634N 09547E,
,MM,KYP,Kyaukpyu,Kyaukpyu,,AI,1--4----,9601,,,
,MM,KYT,Kyauktaw,Kyauktaw,,AI,---4----,9601,,,
,MM,LSH,Lashio,Lashio,,AI,---4----,9601,,,
,MM,LPT,Latputta,Latputta,07,RL,--3-----,1601,,1609N 09446E,
,MM,LIW,Loikaw,Loikaw,,AI,---4----,9601,,,
+,MM,LWJ,Lweje,Lweje,11,RL,--3-----,1907,,2412N 09743E,
,MM,MWQ,Magwe,Magwe,,AI,---4----,9601,,,
,MM,MXE,Male,Male,,RL,1-3-----,0101,,,
,MM,MGU,Manaung,Manaung,,AI,---4----,0001,,,
,MM,MDL,Mandalay,Mandalay,,AI,---4----,9601,,,
,MM,MAR,Martaban,Martaban,,QQ,1-------,8103,,,
,MM,MNU,Mawlamyine (Moulmein),Mawlamyine (Moulmein),,QQ,1--4----,8103,,,
,MM,MER,Mergui,Mergui,,QQ,1-------,8103,,,
+,MM,MES,Mese,Mese,12,RL,--3--6--,1907,,1838N 09740E,
,MM,MOE,Momeik,Momeik,,AI,---4----,9601,,,
,MM,MOG,Mong Hsat,Mong Hsat,,AI,---4----,9601,,,
,MM,MGK,Mong Ton,Mong Ton,,AI,---4----,0001,,,
,MM,MYA,Monywa,Monywa,01,RL,--3-----,1601,,2207N 09508E,
,MM,MSE,Mu Se,Mu Se,17,RL,--3----B,1601,,2359N 09754E,
,MM,MUR,Murdon,Murdon,,QQ,1-------,8103,,,
,MM,MWD,Myawadi,Myawadi,13,RL,--3----B,1601,,1641N 09831E,
,MM,MGZ,Myeik,Myeik,,AI,---4----,0001,,,
+,MM,MNE,Myit Nge,Myit Nge,04,RL,-23--6--,1907,,2152N 09605E,
,MM,MYT,Myitkyina,Myitkyina,,AI,---4----,9601,,,
,MM,NMS,Namsang,Namsang,,AI,---4----,9601,,,
,MM,NMT,Namtu,Namtu,,AI,---4----,0001,,,
,MM,NPD,Naypyidaw,Naypyidaw,18,RL,--3-----,1601,,1945N 09606E,
,MM,NYU,Nyaung-U,Nyaung-U,,AI,---4----,9601,,,
,MM,PAA,Pa-An,Pa-An,,AI,---4----,9601,,,
,MM,PKK,Pakokku,Pakokku,,AI,---4----,9601,,,
,MM,PPU,Papun,Papun,,AI,---4----,9601,,,
,MM,PAU,Pauk,Pauk,,AI,---4----,9601,,,
,MM,PAZ,Pazundaung,Pazundaung,,RL,-----6--,1107,,1647N 09610E,
,MM,PEG,Pegu,Pegu,,QQ,1-------,8103,,,
,MM,PRU,Prome,Prome,,RQ,---4----,0901,,1849N 09516E,
,MM,PBU,Putao,Putao,,AI,---4----,0001,,,
+,MM,PYA,Pyapon,Pyapon,07,RL,--3-----,1907,,1617N 09540E,
,MM,TMU,Ta Mu,Ta Mu,01,RL,--3----B,1601,,2413N 09419E,
,MM,THL,Tachilek,Tachilek,,AI,---4----,0001,,,
,MM,TAS,Tah Sala,Tah Sala,,QQ,1-------,8103,,,
,MM,TEN,Tanintharyi,Tanintharyi,,RL,1-------,0212,,1205N 09901E,
,MM,TGI,Taunggyi,Taunggyi,17,RL,--3-----,1601,,2047N 09702E,
,MM,TAV,Tavoy,Tavoy,,QQ,1-------,8103,,,
,MM,TER,Terutao Island,Terutao Island,,QQ,1-------,8103,,,
,MM,SNW,Thandwe (ex Sandoway),Thandwe (ex Sandoway),,AI,1--4----,8103,,,
,MM,YHN,Thanhlyin,Thanhlyin,06,RL,--3-----,1501,,1647N 09616E,
,MM,THA,Thaton,Thaton,,QQ,1--4----,8103,,,
,MM,TLA,Thilawa,Thilawa,06,RL,123-----,1601,,1639N 09615E,
,MM,TIO,Tilin,Tilin,,AI,---4----,0001,,,
,MM,VIC,Victoria Point,Victoria Point,,QQ,1-------,8103,,,
,MM,RGN,Yangon,Yangon,,AI,1--45---,9601,,,
,MM,XYE,Ye,Ye,,AI,1--4----,9601,,,
