,NA,AIW,Ai-Ais,Ai-Ais,,AI,---4----,0001,,,
,NA,ADI,Arandis,Arandis,,AI,---4----,0001,,,
,NA,VFG,Ariamsvlei,Ariamsvlei,KA,RL,--3-----,1601,,2807S 01949E,
,NA,ZAR,Aussenkehr,Aussenkehr,,RL,-----6--,0901,,2821S 01723E,
,NA,BQI,Bagani,Bagani,,AI,---4----,0001,,,
,NA,GOG,Gobabis,Gobabis,,AI,---4----,0001,,,
,NA,GFY,Grootfontein,Grootfontein,,AI,---4----,9601,,,
,NA,HAL,Halali,Halali,,AI,---4----,0001,,,
,NA,HTN,Henties Bay (Hentiesbaai),Henties Bay (Hentiesbaai),ER,RL,--3-----,1501,,2207S 01417E,
,NA,KAS,Karasburg,Karasburg,,AI,---45---,9805,,,
,NA,KRB,Karibib,Karibib,,RL,--3-----,0201,,2156S 01551E,
,NA,KAT,Katima Mulilo,Katima Mulilo,CA,RL,--3-----,1707,,1730S 02416E,
,NA,KMP,Keetmanshoop,Keetmanshoop,,AI,---4----,9601,,,
,NA,LUD,Lüderitz,Luderitz,,AI,1--4----,0212,,2639S 01510E,
,NA,MTH,Maltahohe,Maltahohe,HA,RQ,-----6--,1001,,2450S 01659E,
,NA,MAR,Mariental,Mariental,,AI,----5---,9805,,,
,NA,MQG,Midgard,Midgard,,AI,---4----,0001,,,
,NA,OKU,Mokuti Lodge,Mokuti Lodge,,AI,---4----,0001,,,
,NA,MJO,Mount Etjo Lodge,Mount Etjo Lodge,,AI,---4----,0001,,,
,NA,MPA,Mpacha,Mpacha,,AI,---4----,0001,,,
,NA,NNI,Namutoni,Namutoni,,AI,---4----,0001,,,
,NA,WOR,Noordoewer,Noordoewer,KA,AI,--3-5---,0307,,2845S 01737E,
,NA,OOZ,Okahandja,Okahandja,OD,RL,-----6--,1401,,2159S 01655E,
,NA,OKF,Okaukuejo,Okaukuejo,,AI,---4----,0001,,,
,NA,OMA,Omaruru,Omaruru,ER,RL,--3-----,0901,,2126S 01556E,
,NA,OMG,Omega,Omega,,AI,---4----,0001,,,
,NA,OND,Ondangwa,Ondangwa,,AI,---4----,0001,,,
,NA,OGV,Ongava Game Reserve,Ongava Game Reserve,,AI,---4----,0001,,,
,NA,ONG,Ongwediva,Ongwediva,ON,RL,--3-----,1901,,1746S 01545E,
,NA,OPW,Opuwa,Opuwa,,AI,---4----,0001,,,
,NA,OMD,Oranjemund,Oranjemund,,RQ,---4----,9012,,,
,NA,OHI,Oshakati,Oshakati,,AI,---45---,9805,,,
,NA,OSH,Oshikango,Oshikango,OW,RL,-----6--,1407,,1724S 01553E,
,NA,OVO,Oshivelo,Oshivelo,OT,RL,--3-----,1707,,1837S 01710E,
,NA,OTP,Otavi,Otavi,OD,RL,--3-----,1601,,1939S 01720E,
,NA,OTJ,Otjiwarongo,Otjiwarongo,,AI,---45---,9805,,,
,NA,OUT,Outjo,Outjo,KU,RL,--3-----,1901,,2007S 01609E,
,NA,RUA,Ruacana,Ruacana,KU,RQ,1----6--,1001,,1726S 01421E,
,NA,NDU,Rundu,Rundu,,AI,---4----,0001,,,
,NA,SZM,Sesriem,Sesriem,,AI,---4----,0001,,,
,NA,SWP,Swakopmund,Swakopmund,,AI,---45---,9805,,,
,NA,TCY,Terrace Bay,Terrace Bay,,AI,---4----,0001,,,
,NA,TSB,Tsumeb,Tsumeb,,AI,---4----,9601,,,
,NA,UIS,Uis,Uis,ER,RL,--3-----,1801,,2113S 01451E,
,NA,WVB,Walvis Bay,Walvis Bay,,QQ,1-------,8103,,,
,NA,WDH,Windhoek,Windhoek,,AI,---45---,9601,,,
,NA,ERS,Windhoek Eros Airport,Windhoek Eros Airport,KH,RL,---4----,1607,,2236S 01704E,
