,RE,BRP,Bras Panon,Bras Panon,,RL,--3-----,1901,,2100S 05541E,
,RE,LES,L'Étang-Salé,L'Etang-Sale,,RL,--3-----,1901,,2116S 05522E,
,RE,CAF,la Plaine des Cafres,la Plaine des Cafres,,RL,--3-----,1901,,2110S 05535E,
,RE,SLH,La Saline les Hauts,La Saline les Hauts,,RL,--3-----,1901,,2105S 05516E,
,RE,LPT,Le Port,Le Port,,AF,1-3-5---,1901,,2056S 05517E,
,RE,LTM,Le Tampon,Le Tampon,,RQ,--3-----,1901,,2116S 05531E,
,RE,LAV,Les Avirons,Les Avirons,,RL,--3-----,1601,,2114S 05520E,
,RE,X3R,les Trois Bassins,les Trois Bassins,,RL,--3-----,1901,,2106S 05518E,
,RE,PAL,Plaine des Palmistes,Plaine des Palmistes,,RL,--3-----,1901,,2108S 05538E,
,RE,PD2,Pointe des Galets,Pointe des Galets,,RL,--3-----,1807,,2055S 05517E,
,RE,POS,Possession,Possession,,RL,1-------,1901,,2056S 05520E,
,RE,SDR,Saint-André,Saint-Andre,,RL,--3-5---,1901,,2056S 05539E,
,RE,SVB,Saint-Benoît,Saint-Benoit,,RL,-----6--,1407,,2102S 05543E,
,RE,RUN,Saint-Denis de la Réunion,Saint-Denis de la Reunion,,AI,---4----,1901,,2054S 05531E,
,RE,SGL,Saint-Gilles,Saint-Gilles,,RL,--3-----,1901,,2102S 05514E,a.k.a Saint Gilles
,RE,GUL,Saint-Gilles-Les Hauts,Saint-Gilles-Les Hauts,,RL,--3-----,1601,,2102S 05515E,
,RE,SJH,Saint-Joseph,Saint-Joseph,,RL,--3-----,1901,,2122S 05537E,
,RE,LEU,Saint-Leu,Saint-Leu,,RL,1-------,1901,,,
,RE,SLO,Saint-Louis,Saint-Louis,,RL,--3-----,1901,,,
¦,RE,SPL,Saint-Paul,Saint-Paul,,RL,-23-5---,1907,,2059S 05516E,@Fun
,RE,SPH,Saint-Philippe,Saint-Philippe,,RL,--3-----,1901,,2122S 05546E,
,RE,ZSE,Saint-Pierre,Saint-Pierre,,AI,---4----,1901,,2120S 05528E,
,RE,CLO,Sainte Clotilde,Sainte Clotilde,,RL,--3-----,1901,,2054S 05529E,
,RE,ANN,Sainte-Anne,Sainte-Anne,,RL,--3-----,1901,,2105S 05545E,
,RE,SMA,Sainte-Marie,Sainte-Marie,,RL,--3-----,1901,,2053S 05533E,
,RE,SSZ,Sainte-Suzanne,Sainte-Suzanne,,RL,1-------,1901,,2054S 05536E,
